img_id,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
858,204550,35332,23956,371,0,5243,0,1245,239813,15161,63986,0,0,137,0,0,0,0,30
725,159553,18193,409,228,53,6735,0,847,316540,76922,9931,47,0,366,0,0,0,0,0
688,230746,4639,11161,0,0,0,0,0,237253,45554,60467,0,0,4,0,0,0,0,0
1005,222949,13544,91290,7512,3732,4576,101,109,58823,2571,158053,182,12,26155,0,0,0,215,0
63,262240,1837,17542,61,20236,2606,0,122,49343,2293,231741,2,0,1269,32,500,0,0,0
582,216741,40999,379,5867,0,413,0,0,246092,8055,71278,0,0,0,0,0,0,0,0
736,252013,30002,2,1202,4530,677,4,17,219691,2996,78685,0,0,5,0,0,0,0,0
1010,254504,13073,5066,674,3008,1890,0,33,161568,2019,139388,0,0,8042,0,0,559,0,0
759,242467,15204,7887,17,10681,4974,87,207,155658,8101,144540,0,0,1,0,0,0,0,0
961,261453,1590,2830,0,0,3149,2198,439,113746,7344,181536,9,0,15530,0,0,0,0,0
123,259539,4215,135,6751,406,2927,3069,324,53660,5893,252502,0,0,403,0,0,0,0,0
972,190168,1887,186,177,4746,2700,0,69,176498,855,154046,0,0,57688,8,793,3,0,0
997,240792,9268,28604,0,8967,5582,2890,254,84211,5706,198141,142,0,2167,0,0,3100,0,0
887,199784,19152,10897,71,4238,1121,0,451,227137,28055,96893,34,0,1531,0,0,0,360,100
544,268081,13418,794,4753,732,1309,10,69,156082,11301,132452,46,0,694,0,59,24,0,0
1079,243143,4736,12636,1,5555,462,27,5,236953,7302,74454,347,0,4203,0,0,0,0,0
687,179868,36031,966,29,27047,2490,0,16,288618,32904,21430,0,0,425,0,0,0,0,0
777,189363,580,4297,0,26008,377,0,0,258716,54569,50749,0,0,5165,0,0,0,0,0
661,270565,10253,14006,0,90,551,10,118,37809,1526,245562,0,0,8494,486,117,237,0,0
2,236729,432,27,31469,0,666,0,0,195789,1250,119763,0,0,3621,0,78,0,0,0
269,235450,18089,2299,747,29,1862,0,0,49674,6230,274300,0,0,1144,0,0,0,0,0
515,199876,1035,14207,0,7422,1219,0,15,228024,1546,121184,135,0,15161,0,0,0,0,0
514,177703,2349,15348,0,2880,461,30,27,214891,798,142897,0,105,32332,0,0,0,0,3
966,258327,1600,14097,0,1060,1035,23,114,145989,15918,150554,6,0,1101,0,0,0,0,0
601,256604,5901,26,76,253,1792,3955,3116,74697,25344,215472,4,0,1350,1234,0,0,0,0
902,212234,1222,3159,0,0,208,0,45,263823,33353,71350,14,0,4416,0,0,0,0,0
142,256745,8,4924,0,0,429,84,64,188899,11389,127184,0,0,98,0,0,0,0,0
215,240340,3756,0,1319,2029,21,0,5,183659,8245,150211,0,0,239,0,0,0,0,0
374,228409,11472,16762,489,14790,7302,0,0,129671,25,160992,0,0,19867,45,0,0,0,0
