"","GEOID","county","hhincome","hhincome_log","pct_pov","pct_pov_log","pct_white","pop","review_count","review_count_log","avg_rating","avg_price","n"
"98","13067031218","Cobb County",95703,11.4691094093858,0.0379690949227373,-3.0371983312147,0.558057395143488,2265,139,4.89448708287368,"4","2",2
"99","13067031219","Cobb County",85127,11.3520170026796,0.0399820305480683,-2.99609172718834,0.356693620844564,2226,3,1.38629436111989,"2","NaN",1
"100","13067031220","Cobb County",72755,11.1949903493474,0.145174371451744,-1.86320581726743,0.43146796431468,2466,91,4.52084250297302,"3","1",2
"101","13067031221","Cobb County",165321,12.0157048040361,0.0115435356200528,-3.83767947866,0.446569920844327,3032,21.6666666666667,2.3661252128636,"3","1",3
"102","13067031306","Cobb County",84091,11.3397737364968,0.105250481695568,-2.16064741754302,0.231936416184971,4152,24,3.2188758248682,"2","1",1
"103","13067031314","Cobb County",128929,11.7670947032893,0.0251841699503169,-3.34715901485179,0.176974473188282,5837,16,2.83321334405622,"4","NaN",1
"104","13067031316","Cobb County",122380,11.7149679463764,0.0441754916792738,-2.91552665584135,0.361930294906166,6714,53,3.982772786565,"2","1",2
"105","13067031321","Cobb County",54679,10.9094178712952,0.241787122207622,-1.37917130162008,0.07083876575402,2301,3,1.38629436111989,"5","NaN",1
"106","13067031411","Cobb County",68232,11.1308154900596,0.232347328244275,-1.4173833411201,0.275763358778626,4192,13,2.49521629338937,"2","1",2
"107","13067031412","Cobb County",63975,11.0664039598717,0.208256029684601,-1.5220864572232,0.236379422617756,4607,36,3.61091791264422,"2","1",1
"108","13067031417","Cobb County",53384,10.8854536590849,0.107447413303013,-2.14176459193402,0.216600341102899,3518,159,5.07517381523383,"4","1",1
"109","13067031506","Cobb County",84661,11.3465284371252,0.156995536401416,-1.78978819505782,0.379098045251655,6497,49,3.91202300542815,"2","1",1
"110","13067031511","Cobb County",102058,11.5333945368096,0.0929110105580694,-2.27389063935853,0.395324283559578,6630,2,1.09861228866811,"5","NaN",1
"111","13067031517","Cobb County",109423,11.6030677688224,0.0385198665453443,-3.02578194541823,0.263876251137398,3297,120,4.79579054559674,"4","1",1
"112","13089020300","DeKalb County",175885,12.07764250508,0.0853122251539138,-2.35059719581563,0.738126649076517,4548,232,5.2017221618685,"4","2",2
"113","13089020400","DeKalb County",188438,12.1465773857443,0.029108327192336,-3.24141986299507,0.826823876197494,2714,190,4.64738671397551,"4","2",2
"114","13089020500","DeKalb County",99961,11.5126354229121,0.0665538635081782,-2.56976068776433,0.5360970107163,3546,70.75,3.07392120105497,"3","1",4
"115","13089020700","DeKalb County",85125,11.3519935108547,0.133495145631068,-1.94145407270958,0.47283356258597,2908,211,5.35658627467201,"4","1",1
"116","13089020801","DeKalb County",175524,12.0755880353181,0.0308015400770038,-3.19903545129903,0.614280714035702,2857,1326,7.19067603433221,"4","2",1
"117","13089020802","DeKalb County",109755,11.606096995858,0.0718410718410718,-2.50297606063724,0.447307869305108,4346,136.5,4.81603622627411,"4","2",2
"118","13089020901","DeKalb County",114478,11.6482252929907,0.0968239284613013,-2.23657332828821,0.5263644773358,3243,199.75,4.5312456034138,"4","1",4
"119","13089021104","DeKalb County",104762,11.5595418395988,0.166666666666667,-1.73349056110408,0.565817409766454,1884,90,4.49770703066403,"2","1",3
"120","13089021204","DeKalb County",40449,10.6080443946476,0.440907751252579,-0.796492503078374,0.0359438924605494,3422,83,3.30802856034086,"5","2",4
"121","13089021208","DeKalb County",86448,11.3674140258699,0.0396193435618567,-3.00337453011158,0.506894542629637,5149,64.7142857142857,3.63774615714128,"3","2",7
"122","13089021213","DeKalb County",234000,12.3631191284695,0.00909607731665719,-3.95827234111336,0.9076179647527,3518,48,3.89182029811063,"2","1",1
